,,conversion,click,cvr,click percentage of total data
153,8CU2IH314,1,82,0.012195121951219513,0.06595085856757953
573,8CUC163X0,0,77,0.0,0.06192946475248321
174,8CU2YUQM6,1,76,0.013157894736842105,0.06112518598946395
241,8CU45R1HF,5,76,0.06578947368421052,0.06112518598946395
924,8CUSSS375,14,75,0.18666666666666668,0.06032090722644469
201,8CU38B48Y,1,75,0.013333333333333334,0.06032090722644469
85,8CU18CJ62,1,74,0.013513513513513514,0.059516628463425425
1030,8CUX7V1L7,0,72,0.0,0.057908070937386896
349,8CU644FGY,8,71,0.11267605633802817,0.05710379217436763
955,8CUU0F61B,1,68,0.014705882352941176,0.05469095588530985
1115,9CUL4VIUL,0,66,0.0,0.05308239835927133
1097,9CU537RO8,0,65,0.0,0.05227811959625206
945,8CUTN3N5B,7,64,0.109375,0.051473840833232795
978,8CUV2L699,5,63,0.07936507936507936,0.05066956207021354
159,8CU2OF2D5,0,61,0.0,0.049061004544175016
1039,8CUXP6AUQ,4,59,0.06779661016949153,0.04745244701813649
71,8CU141F8N,0,57,0.0,0.045843889492097965
841,8CUO88B7W,0,56,0.0,0.045039610729078694
176,8CU300JG9,16,55,0.2909090909090909,0.04423533196605944
544,8CUA3C24U,0,55,0.0,0.04423533196605944
930,8CUT2M6K3,0,55,0.0,0.04423533196605944
638,8CUET2VOT,0,54,0.0,0.04343105320304018
740,8CUJJUJ54,14,54,0.25925925925925924,0.04343105320304018
1095,9CU40YI34,0,52,0.0,0.04182249567700165
814,8CUMIZ57Z,1,52,0.019230769230769232,0.04182249567700165
216,8CU3O33LE,6,51,0.11764705882352941,0.041018216913982386
180,8CU314Z59,1,50,0.02,0.04021393815096312
99,8CU1M38OA,0,50,0.0,0.04021393815096312
581,8CUC52W5Z,0,50,0.0,0.04021393815096312
959,8CUU4Q1P3,0,48,0.0,0.0386053806249246
288,8CU4YRP74,0,48,0.0,0.0386053806249246
947,8CUTOD52Y,0,48,0.0,0.0386053806249246
558,8CUB6M45W,0,48,0.0,0.0386053806249246
422,8CU79Y8H7,0,47,0.0,0.037801101861905335
1094,9CU3T2N5T,0,47,0.0,0.037801101861905335
704,8CUHOSSDF,2,46,0.043478260869565216,0.03699682309888607
1089,9CU2S53KK,0,46,0.0,0.03699682309888607
538,8CU9R4RMQ,0,45,0.0,0.036192544335866814
996,8CUVWZRV0,0,44,0.0,0.03538826557284755
673,8CUGF87P8,2,44,0.045454545454545456,0.03538826557284755
1011,8CUWFZQIA,2,42,0.047619047619047616,0.03377970804680902
54,8CU113835,3,42,0.07142857142857142,0.03377970804680902
185,8CU323M45,0,42,0.0,0.03377970804680902
351,8CU64G452,2,41,0.04878048780487805,0.03297542928378976
437,8CU7Q0XIO,1,40,0.025,0.0321711505207705
1111,9CUHJ3156,0,40,0.0,0.0321711505207705
336,8CU60I72W,0,39,0.0,0.031366871757751234
26,7CU522333,0,39,0.0,0.031366871757751234
853,8CUP5O1C1,0,39,0.0,0.031366871757751234
141,8CU2AN76Y,17,39,0.4358974358974359,0.031366871757751234
771,8CUL56337,0,38,0.0,0.030562592994731973
1062,8CUYGHI6O,2,38,0.05263157894736842,0.030562592994731973
487,8CU8FX3Y7,1,38,0.02631578947368421,0.030562592994731973
556,8CUB49D1H,13,37,0.35135135135135137,0.029758314231712713
1083,9CU1PY148,0,36,0.0,0.028954035468693448
873,8CUPXFLZJ,0,35,0.0,0.028149756705674187
344,8CU61Y73I,0,35,0.0,0.028149756705674187
255,8CU4D4BL7,0,35,0.0,0.028149756705674187
117,8CU206REQ,0,35,0.0,0.028149756705674187
1010,8CUWFRG8Q,0,35,0.0,0.028149756705674187
1025,8CUX55NQP,0,34,0.0,0.027345477942654926
857,8CUPBQ114,0,33,0.0,0.026541199179635665
465,8CU861QYP,0,33,0.0,0.026541199179635665
211,8CU3F87CL,2,32,0.0625,0.025736920416616398
668,8CUG84T1Q,0,32,0.0,0.025736920416616398
809,8CUM77W7X,1,32,0.03125,0.025736920416616398
815,8CUMLWM7V,0,32,0.0,0.025736920416616398
387,8CU6U0RE9,0,31,0.0,0.024932641653597137
389,8CU6YBK23,1,31,0.03225806451612903,0.024932641653597137
511,8CU8WHD3B,0,31,0.0,0.024932641653597137
876,8CUQ33R4V,2,30,0.06666666666666667,0.024128362890577872
27,7CU531U6O,0,30,0.0,0.024128362890577872
908,8CUS31N8S,4,29,0.13793103448275862,0.02332408412755861
933,8CUT324QW,0,29,0.0,0.02332408412755861
837,8CUO5AOFK,0,29,0.0,0.02332408412755861
100,8CU1NONPK,0,29,0.0,0.02332408412755861
76,8CU15Q8PT,0,28,0.0,0.022519805364539347
1038,8CUXP4E45,0,28,0.0,0.022519805364539347
346,8CU630571,3,28,0.10714285714285714,0.022519805364539347
630,8CUE91SHS,0,27,0.0,0.02171552660152009
864,8CUPQ48I2,0,26,0.0,0.020911247838500825
521,8CU946OY7,0,26,0.0,0.020911247838500825
366,8CU691XQ3,0,25,0.0,0.02010696907548156
338,8CU6147GU,0,25,0.0,0.02010696907548156
198,8CU37D9BF,1,25,0.04,0.02010696907548156
633,8CUEEBF38,0,24,0.0,0.0193026903124623
190,8CU351JJ8,0,24,0.0,0.0193026903124623
63,8CU131119,6,24,0.25,0.0193026903124623
32,7CU7K6RU7,3,23,0.13043478260869565,0.018498411549443036
95,8CU1HYD29,0,23,0.0,0.018498411549443036
501,8CU8N81RP,0,23,0.0,0.018498411549443036
264,8CU4KE834,0,23,0.0,0.018498411549443036
1044,8CUXVIMI8,0,23,0.0,0.018498411549443036
417,8CU787Y5B,0,23,0.0,0.018498411549443036
194,8CU366J08,0,23,0.0,0.018498411549443036
475,8CU88R9MR,0,23,0.0,0.018498411549443036
467,8CU8644D8,0,23,0.0,0.018498411549443036
484,8CU8D36GI,1,22,0.045454545454545456,0.017694132786423775
370,8CU6CFKPT,0,22,0.0,0.017694132786423775
923,8CUSS7H34,0,22,0.0,0.017694132786423775
77,8CU15VY66,2,22,0.09090909090909091,0.017694132786423775
318,8CU5I2CGK,0,22,0.0,0.017694132786423775
951,8CUTSY1EY,2,22,0.09090909090909091,0.017694132786423775
269,8CU4NYL93,0,22,0.0,0.017694132786423775
225,8CU3YVLQT,1,22,0.045454545454545456,0.017694132786423775
