,,conversion,click,cvr,click percentage of total data
2117,27258,2,10,0.2,0.008042787630192625
3309,393552,0,10,0.0,0.008042787630192625
220,2882,0,10,0.0,0.008042787630192625
2862,46450,0,10,0.0,0.008042787630192625
517,7341,0,10,0.0,0.008042787630192625
999,14090,4,10,0.4,0.008042787630192625
105,1410,1,10,0.1,0.008042787630192625
925,13638,1,10,0.1,0.008042787630192625
3105,54994,0,10,0.0,0.008042787630192625
2810,46125,1,10,0.1,0.008042787630192625
2455,32953,0,10,0.0,0.008042787630192625
3391,394437,0,10,0.0,0.008042787630192625
2491,33339,0,10,0.0,0.008042787630192625
176,1906,0,10,0.0,0.008042787630192625
1114,15003,0,10,0.0,0.008042787630192625
279,3701,2,10,0.2,0.008042787630192625
1160,16276,0,10,0.0,0.008042787630192625
221,2897,0,10,0.0,0.008042787630192625
1502,19855,0,9,0.0,0.007238508867173362
1832,23155,0,9,0.0,0.007238508867173362
1831,23148,0,9,0.0,0.007238508867173362
1627,21694,1,9,0.1111111111111111,0.007238508867173362
1547,20214,0,9,0.0,0.007238508867173362
569,8030,0,9,0.0,0.007238508867173362
115,1452,0,9,0.0,0.007238508867173362
1811,23024,0,9,0.0,0.007238508867173362
3452,395172,1,9,0.1111111111111111,0.007238508867173362
1593,20477,0,9,0.0,0.007238508867173362
1478,19653,0,9,0.0,0.007238508867173362
1308,17380,0,9,0.0,0.007238508867173362
468,6646,0,9,0.0,0.007238508867173362
1753,22616,1,9,0.1111111111111111,0.007238508867173362
1712,22315,0,9,0.0,0.007238508867173362
1633,21737,0,9,0.0,0.007238508867173362
241,3354,0,9,0.0,0.007238508867173362
1840,23205,0,9,0.0,0.007238508867173362
892,13371,0,9,0.0,0.007238508867173362
639,10921,1,9,0.1111111111111111,0.007238508867173362
3418,394708,0,9,0.0,0.007238508867173362
2148,27425,3,9,0.3333333333333333,0.007238508867173362
1007,14138,1,9,0.1111111111111111,0.007238508867173362
2191,29866,0,9,0.0,0.007238508867173362
339,4474,0,9,0.0,0.007238508867173362
338,4473,0,9,0.0,0.007238508867173362
918,13614,0,9,0.0,0.007238508867173362
2357,32181,3,9,0.3333333333333333,0.007238508867173362
2394,32444,0,9,0.0,0.007238508867173362
3314,393581,0,9,0.0,0.007238508867173362
1076,14744,0,9,0.0,0.007238508867173362
693,11240,2,9,0.2222222222222222,0.007238508867173362
881,13329,0,9,0.0,0.007238508867173362
877,13150,0,9,0.0,0.007238508867173362
3389,394417,0,9,0.0,0.007238508867173362
283,3734,2,9,0.2222222222222222,0.007238508867173362
715,11353,0,9,0.0,0.007238508867173362
157,1640,0,9,0.0,0.007238508867173362
170,1785,0,9,0.0,0.007238508867173362
260,3512,0,9,0.0,0.007238508867173362
246,3388,0,9,0.0,0.007238508867173362
1068,14671,0,9,0.0,0.007238508867173362
109,1423,1,9,0.1111111111111111,0.007238508867173362
2865,46475,0,9,0.0,0.007238508867173362
1993,26305,0,9,0.0,0.007238508867173362
574,8075,0,9,0.0,0.007238508867173362
1876,23503,0,9,0.0,0.007238508867173362
2946,51964,0,9,0.0,0.007238508867173362
1891,25637,1,9,0.1111111111111111,0.007238508867173362
2941,47096,2,9,0.2222222222222222,0.007238508867173362
3441,394991,0,9,0.0,0.007238508867173362
587,10242,0,9,0.0,0.007238508867173362
1201,16698,0,9,0.0,0.007238508867173362
1974,26166,0,9,0.0,0.007238508867173362
6,17,0,9,0.0,0.007238508867173362
1936,25935,0,9,0.0,0.007238508867173362
2884,46632,0,9,0.0,0.007238508867173362
2002,26400,3,9,0.3333333333333333,0.007238508867173362
1111,14989,0,9,0.0,0.007238508867173362
3203,63018,0,8,0.0,0.006434230104154099
3171,62724,0,8,0.0,0.006434230104154099
522,7381,0,8,0.0,0.006434230104154099
766,11663,0,8,0.0,0.006434230104154099
732,11486,0,8,0.0,0.006434230104154099
